thread_id,thread_title,post_id,author,posted_at,content,likes,reply_to,is_starter,user_post_count,gender,gender_code,join_date,user_age,education,status,children_count,signature,category,sub_category,age,education_clean,age_num,category_source,gender_source,unique_post_id,sig_char_count,sig_punct_count,sig_question_count,sig_excl_count,sig_emoji_count,sig_word_count,sig_neg_count,sig_pos_count,sig_pos_emoji,sig_neg_emoji,post_char_count,post_punct_count,post_question_count,post_excl_count,post_emoji_count,post_pos_emoji,post_neg_emoji,post_word_count,post_neg_count_temp,post_pos_count_temp,stress_proxy_initial,post_neg_count,post_pos_count,stress_proxy,sampling_band
18050609,من با این مادرشوهر چ کار باید کنم,412966185.0,7575saed,1404/12/07 03:24,"بخدا ادم اینطوری راحتتره البته که میرن باید تا سرویسامون با وایتکس بشورم ولی بهتره غذایی که میخورن از گلوم پاییین میره
وای مادرشوهرت چقد پروعه نه من از اول توی کاراشون کمک نکردم در حد ظرف شستن اینام توقع داشتن ازم من محل نمیدادم اگرم میگفتن جواب نمیدادم الان اصلا توقع ندارن نه من از کسی کمک میگیرم ونه میتونم کمک کنم حتی مادر خودم بخدا دست تنها با بچه کوچیک اسباب کشی کردم مامان خودم نگفت بچه رو بیار پیشم یا یه بار غذا بده منم نمیکنم دیگه براش محبت محبت میاره",0,412965974.0,False,1898.0,زن,1,1403/01/20,,,من و فرزندانم,1,,ازدواج-و-شروع-زندگی,عروسی-و-زندگی-مشترک,,نامشخص,-1,cached_historical_source_file_repair,original_female,412966185,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,461,0,0,0,0,0,0,93,1,0,4.0,7,2,7.34,high
16193758,پیراهن سفید برای عکاسی,382097411.0,baharrjp,1404/02/24 18:22,سفیدش رو هم داشت,0,,False,18335.0,زن,1,1400/01/09,60 سال,درج نشده است,,0,که من غم دارم اندازه زیبایی تو..🕊️,دوران-بارداری,سایر-موضوعات-در-بارداری,60 سال,نامشخص,60,cached_historical_source_file_repair,original_female,382097411,34,2,0,0,1,9,1,0,1,0,16,0,0,0,0,0,0,4,0,0,0.0,0,1,-0.08,low
13745719,دارم دق میکنم😭,340933161.0,taranom2022,1403/03/09 22:56,"کروموزوم های ۱۳ و ۱۴ و ۱۰ من مشکل دارن
ریسک زده از هر ۶ تا تخمک ۴ تاش مشکل داره و ممکن بچهام مریض باشن گفت اگر طبیعی بخوای اقدام کنی ۱۰ هفته از پرز های دور جنین آزمایش میگرن اگر سالم نبود باید سقط کنی بعدش گفت برو خدا رو شکر کن بچهات سقط شدن چون بچه مریض دردش از بچه دار نشدن بیشتره بعد گفت اون دوتا تخمک ممکن یکیش بچه سالم باشه و یکیش همین مشکل خودت رو بگیره که بعدا برای بچه دار شدنش مثل خودت میشه😭سه تا سقط داشتم داغونم",0,340932614.0,False,1243.0,زن,1,1403/03/02,24 سال,درج نشده است,,0,خدا نگذره از کسانی که زندگی رو به کام ما تلخ کردن💔,دوران-بارداری,مشکلات-و-بیماریهای-جنین,24 سال,نامشخص,24,original_combined_all,original_female,340933161,50,0,0,0,1,12,0,0,0,1,422,0,0,0,1,0,1,92,1,3,5.4,5,7,7.039999999999999,high
17366737,مامانای که باردارن یا تازه زایمان کردن بیاین داخل لطفا سوال دارم,401342521.0,724nazaninrad1379,1404/08/24 00:22,بقیه قرصای ک خوردی چی بوده؟,0,401339820.0,False,125.0,زن,1,1403/04/01,,,,0,,دوران-بارداری,سایر-موضوعات-در-بارداری,,نامشخص,-1,cached_historical_source_file_repair,original_female,401342521,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,1,1,0,0,0,0,7,0,0,1.2,0,1,0.42,mid
12260668,افسردگی,,نفسی۲۳,1402/07/26 19:12,سلام دوستان خوبید، من دو سه روزه زایمان کردم در طول روز گاهی اوقات ی حس بدی بهم دست میده حس افسردگی حس تنهایی پشیمونی. خونه بابام میمونم بنظرتون برم خونه خودم، یا تنها نمیرسونم؟؟,0,,True,67.0,زن,1,1402/07/26,,,من و فرزندانم,1,,بارداری-و-زایمان,روابط-عاطفی-و-جنسی-در-بارداری,,نامشخص,-1,original_combined_all,original_female,thread_12260668_starter,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,178,5,2,0,0,0,0,38,4,2,16.8,6,4,19.08,high
13248699,امروز هردومون داخل طلافروشی گریه کردیم😭,,حفحفحفحف,1402/12/26 17:07,"مامانم دوتا النگو داشت دوماه پیش فروخت بهم داد چون پول لازم بودم و باردار
قرار بود اردیبهشت بدم بهش
ولی قرار بود به کسی نگه
برداشت به بابا و داداشم گفت
داداشم دیشب ساعت یک شب زنگ زد به شوهرم کلی فحاشی کرد
دیگه رکیک تر از این فحشها وجود نداشت😭
گفت فردا صبح میرید واسه مادرم همون قدر طلا میخرید
شوهرمم چون الان پول دستش نبود گفت فقط حلقه های ازدواجمون موندن بریم بفروشیم
مامانمم‌ اومد النگو انتخاب کرد با چه آب و تابی
که فلان باشن و دوساعت توی خیابون دورمون داد تا النگو پیدا کرد
دید داریم حلقه هامونو میفروشیم فقط گفت شرمنده
طلا فروش دید من و شوهرم بغض کردیم وقتی طلاهارو دادیم گفت من میتونم واسه تون نگه دارم تا چند وقت دوباره بیاید ازم بخرید
اینو که گفت من و شوهرم اشکمون سرازیر شد و گفتیم نه
طلا فروش که مرد بود و غریبه دلش سوخت
کلی دعا کرد ان شالله بیاین پیش خودم بهترش رو بهتون میدم خودش هم گریه اش گرفت
مامانمم هیچی نگفت
۲۰ میلیون هم جمع کرده بودیم واسه زایمان
اونم دادیم تا النگوش رو خرید و الان باید برم بیمارستان دولتی چون حتی پول غذا هم ندارم
میخواستم یکم گردو و خرما بخرم واسه بعد زایمان اما
هیچی ته حسابمون نمونده
با ذوق النگوهارو کرد دستش
خداحافظی کردم و گفتم دیگه نه کاری باهاتون دارم نه کاری بهم داشته باشین چون هم خودش و بابام و داداشم میمیرن واسه پول
من دو هفته دیگه زایمانم هست جای اینکه بگن پول نمیخوای شب عیدی مجبورم کردن حلقه ازدواجم رو بفروشم😭
منم دیگه قطع ارتباط میکنم باهاشون",539,,True,2392.0,زن,1,1402/02/29,,,,0,,بارداری-و-زایمان,روابط-عاطفی-و-جنسی-در-بارداری,,نامشخص,-1,original_combined_all,original_female,thread_13248699_starter,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1298,0,0,0,2,0,2,263,1,0,8.0,15,22,13.74,high
16325936,حس شیشمی بیا دیگههههههه,384280261.0,البالوووو,1404/03/13 12:36,"عزیز برای منم میگیری لطفا❤️ میخوام بدونم آیا ارتباط من و m آینده داره و به جایی میرسیم؟آیا حسشو بهم اعتراف میکنه؟
ماه تولدم بهمن**",1,384257915.0,False,2199.0,زن,1,1403/05/15,,,,0,,دوران-بارداری,بارداری-ناخواسته-سقط-و-واکنشهای-روحی-و-روانی-از-دست-دادن-جنین,,نامشخص,-1,original_combined_all,original_female,384280261,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,130,2,2,0,1,1,0,28,0,0,0.7,2,3,1.26,mid
17408590,کیا دیابت دارن یه لحظه بیاین خواهشاً,,faghtkhoda_66,1404/09/01 05:50,"من باردارم قندم ماه ۴ بالا بود
دکتر گفت رژیم بگیر ....
اونمقع خیلی بالا نبود .....حدود ۹۱ بودم اما می‌گفت با این عدد رعایت نکنی ماه های بالا دیابتی میشی 😔
الان ۲ هفته ای میشه ناشتا ۹۵ ۹۷ ۹۸ میشم
انقدددددر دارم رعایت میکنم که دیگ بیشتر از این کاری از دستم بر نمیاد ، الان باز شده ۹۵!!!!!!
با پیشرفت بارداری هم که قند بالاتر می‌ره !
یه چیزی من داخل نمونه گیری ک میگیرم و سوزن رو میزنم خونم خیلی کم میاد ، بنظرتون دستگاه دچار ایراد نمیشه ؟",0,,True,12528.0,زن,1,1401/03/05,,,,0,,دوران-بارداری,سایر-موضوعات-در-بارداری,,نامشخص,-1,cached_historical_source_file_repair,original_female,thread_17408590_starter,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,436,19,1,7,1,0,1,94,0,0,6.7,5,8,13.36,high
15526257,کسی هست هرماه منظم بره فیشال❓,371248633.0,yasilove,1403/11/19 00:36,من تا پارسال ۵۰۰ امسال دو سری گرون کرد گفت قیمت موادش گرون شده یه سری شد ۶۰۰ الان ۷۰۰ البته بستگی به معروفیت و جا و موادش هم داره ولی مثلا میگم ۱ تومان هم پیدا کردی سالی دو بار بری خیلی خوبه واقعا پوست صورت به پاکسازی عمیق احتیاج داره,0,371248128.0,False,30811.0,زن,1,1398/02/31,22 سال,کاردانی,,0,تعلیق دائم🚫 اکانت فیک❌,دوران-بارداری,مشکلات-بیماریها-و-عوارض-بارداری-و-تجربیات-مقابله-یا-تسکین-آنها,22 سال,کاردانی,22,original_combined_all,original_female,371248633,22,0,0,0,2,4,0,0,0,1,234,0,0,0,0,0,0,52,0,1,-0.2,1,6,-0.27999999999999997,low
17544830,تو هفته 5بارداری بتا بعد 3 روز 1000بره بالا خوبه❓,404337262.0,زهراخانووممم,1404/09/27 15:14,"بعد۴۸ساعت ده برابر شد؟
من بتام این بود
بتای بکشنبه 16 519
بتای شنبه 22
1950
بتای سشنبه 25
3038
بتای اولی و سومی یجا بود دومی یجا دیگه
دوشنبه هفته بعد باز میرم بتا و سونو
یعنی اصلا این سری بتامو ب دکتر خودم نگفتم ک هم هزینه زیاد کنم هم استرسی بشم و برم راه دور
به یه دکتر تو اینستا گفتک گقت اینکارو بکن .سونو هم جای دیگه میرم اقا انجام میده
خواستم ده روز بگذره هرچی شد دیگع نتیجه قطغی باشهه",0,404336782.0,False,8577.0,زن,1,1399/06/13,26 سال,لیسانس,,0,در حال جنگیدن با زندگی...,دوران-بارداری,سایر-موضوعات-در-بارداری,26 سال,کارشناسی,26,cached_historical_source_file_repair,original_female,404337262,25,3,0,0,0,6,0,0,0,0,389,2,1,0,0,0,0,89,1,0,5.2,4,6,6.02,high
