unique_post_id,content,is_starter,sampling_band,stress_proxy,claude_stress,claude_anxiety,claude_depression
412966185,"بخدا ادم اینطوری راحتتره البته که میرن باید تا سرویسامون با وایتکس بشورم ولی بهتره غذایی که میخورن از گلوم پاییین میره
وای مادرشوهرت چقد پروعه نه من از اول توی کاراشون کمک نکردم در حد ظرف شستن اینام توقع داشتن ازم من محل نمیدادم اگرم میگفتن جواب نمیدادم الان اصلا توقع ندارن نه من از کسی کمک میگیرم ونه میتونم کمک کنم حتی مادر خودم بخدا دست تنها با بچه کوچیک اسباب کشی کردم مامان خودم نگفت بچه رو بیار پیشم یا یه بار غذا بده منم نمیکنم دیگه براش محبت محبت میاره",False,high,7.34,,,
382097411,سفیدش رو هم داشت,False,low,-0.08,,,
340933161,"کروموزوم های ۱۳ و ۱۴ و ۱۰ من مشکل دارن
ریسک زده از هر ۶ تا تخمک ۴ تاش مشکل داره و ممکن بچهام مریض باشن گفت اگر طبیعی بخوای اقدام کنی ۱۰ هفته از پرز های دور جنین آزمایش میگرن اگر سالم نبود باید سقط کنی بعدش گفت برو خدا رو شکر کن بچهات سقط شدن چون بچه مریض دردش از بچه دار نشدن بیشتره بعد گفت اون دوتا تخمک ممکن یکیش بچه سالم باشه و یکیش همین مشکل خودت رو بگیره که بعدا برای بچه دار شدنش مثل خودت میشه😭سه تا سقط داشتم داغونم",False,high,7.039999999999999,,,
401342521,بقیه قرصای ک خوردی چی بوده؟,False,mid,0.42,,,
thread_12260668_starter,سلام دوستان خوبید، من دو سه روزه زایمان کردم در طول روز گاهی اوقات ی حس بدی بهم دست میده حس افسردگی حس تنهایی پشیمونی. خونه بابام میمونم بنظرتون برم خونه خودم، یا تنها نمیرسونم؟؟,True,high,19.08,,,
thread_13248699_starter,"مامانم دوتا النگو داشت دوماه پیش فروخت بهم داد چون پول لازم بودم و باردار
قرار بود اردیبهشت بدم بهش
ولی قرار بود به کسی نگه
برداشت به بابا و داداشم گفت
داداشم دیشب ساعت یک شب زنگ زد به شوهرم کلی فحاشی کرد
دیگه رکیک تر از این فحشها وجود نداشت😭
گفت فردا صبح میرید واسه مادرم همون قدر طلا میخرید
شوهرمم چون الان پول دستش نبود گفت فقط حلقه های ازدواجمون موندن بریم بفروشیم
مامانمم‌ اومد النگو انتخاب کرد با چه آب و تابی
که فلان باشن و دوساعت توی خیابون دورمون داد تا النگو پیدا کرد
دید داریم حلقه هامونو میفروشیم فقط گفت شرمنده
طلا فروش دید من و شوهرم بغض کردیم وقتی طلاهارو دادیم گفت من میتونم واسه تون نگه دارم تا چند وقت دوباره بیاید ازم بخرید
اینو که گفت من و شوهرم اشکمون سرازیر شد و گفتیم نه
طلا فروش که مرد بود و غریبه دلش سوخت
کلی دعا کرد ان شالله بیاین پیش خودم بهترش رو بهتون میدم خودش هم گریه اش گرفت
مامانمم هیچی نگفت
۲۰ میلیون هم جمع کرده بودیم واسه زایمان
اونم دادیم تا النگوش رو خرید و الان باید برم بیمارستان دولتی چون حتی پول غذا هم ندارم
میخواستم یکم گردو و خرما بخرم واسه بعد زایمان اما
هیچی ته حسابمون نمونده
با ذوق النگوهارو کرد دستش
خداحافظی کردم و گفتم دیگه نه کاری باهاتون دارم نه کاری بهم داشته باشین چون هم خودش و بابام و داداشم میمیرن واسه پول
من دو هفته دیگه زایمانم هست جای اینکه بگن پول نمیخوای شب عیدی مجبورم کردن حلقه ازدواجم رو بفروشم😭
منم دیگه قطع ارتباط میکنم باهاشون",True,high,13.74,,,
384280261,"عزیز برای منم میگیری لطفا❤️ میخوام بدونم آیا ارتباط من و m آینده داره و به جایی میرسیم؟آیا حسشو بهم اعتراف میکنه؟
ماه تولدم بهمن**",False,mid,1.26,,,
thread_17408590_starter,"من باردارم قندم ماه ۴ بالا بود
دکتر گفت رژیم بگیر ....
اونمقع خیلی بالا نبود .....حدود ۹۱ بودم اما می‌گفت با این عدد رعایت نکنی ماه های بالا دیابتی میشی 😔
الان ۲ هفته ای میشه ناشتا ۹۵ ۹۷ ۹۸ میشم
انقدددددر دارم رعایت میکنم که دیگ بیشتر از این کاری از دستم بر نمیاد ، الان باز شده ۹۵!!!!!!
با پیشرفت بارداری هم که قند بالاتر می‌ره !
یه چیزی من داخل نمونه گیری ک میگیرم و سوزن رو میزنم خونم خیلی کم میاد ، بنظرتون دستگاه دچار ایراد نمیشه ؟",True,high,13.36,,,
371248633,من تا پارسال ۵۰۰ امسال دو سری گرون کرد گفت قیمت موادش گرون شده یه سری شد ۶۰۰ الان ۷۰۰ البته بستگی به معروفیت و جا و موادش هم داره ولی مثلا میگم ۱ تومان هم پیدا کردی سالی دو بار بری خیلی خوبه واقعا پوست صورت به پاکسازی عمیق احتیاج داره,False,low,-0.27999999999999997,,,
404337262,"بعد۴۸ساعت ده برابر شد؟
من بتام این بود
بتای بکشنبه 16 519
بتای شنبه 22
1950
بتای سشنبه 25
3038
بتای اولی و سومی یجا بود دومی یجا دیگه
دوشنبه هفته بعد باز میرم بتا و سونو
یعنی اصلا این سری بتامو ب دکتر خودم نگفتم ک هم هزینه زیاد کنم هم استرسی بشم و برم راه دور
به یه دکتر تو اینستا گفتک گقت اینکارو بکن .سونو هم جای دیگه میرم اقا انجام میده
خواستم ده روز بگذره هرچی شد دیگع نتیجه قطغی باشهه",False,high,6.02,,,
301631525,"مآل من داغونه دوتا سز داشتم
قبلش تخت تخت بودم میشه گفت س یکس پک",False,low,-0.08,,,
thread_18089824_starter,"واسه یک نفر میخوام کادو بگیرم فلاسک یونیک
که آب سرد نگهداری بشه توش
۱/۶ لیتره بنظرتون کمه؟؟ از صبح تا شب
حدودا ۶/۷ لیوانه",True,high,6.26,,,
