stem,association,high_freq,low_freq,ratio
؟؟,negative/high_proxy,4775,78,61.217948717948715
تن,negative/high_proxy,3750,3,1250.0
سینه,negative/high_proxy,690,318,2.169811320754717
درد,negative/high_proxy,13012,4,3253.0
عصب,negative/high_proxy,1173,0,inf
پرخاش,negative/high_proxy,61,15,4.066666666666666
می‌کش,negative/high_proxy,739,333,2.219219219219219
نب,negative/high_proxy,3924,613,6.4013050570962475
استرس,negative/high_proxy,6979,10,697.9
اضطراب,negative/high_proxy,202,74,2.72972972972973
نفر,negative/high_proxy,2253,3,751.0
افسردگ,negative/high_proxy,1002,1,1002.0
لخته,negative/high_proxy,439,216,2.0324074074074074
؟؟؟؟,negative/high_proxy,724,13,55.69230769230769
معلول,negative/high_proxy,97,47,2.0638297872340425
بیداد,negative/high_proxy,74,35,2.1142857142857143
جیغ,negative/high_proxy,253,99,2.5555555555555554
مامانبزرگ,negative/high_proxy,59,28,2.107142857142857
معتاد,negative/high_proxy,221,102,2.1666666666666665
تجاوز,negative/high_proxy,118,0,inf
محافظت‌شده,negative/high_proxy,12,5,2.4
؟؟؟,negative/high_proxy,2439,38,64.1842105263158
عذاب,negative/high_proxy,1327,0,inf
وجد,negative/high_proxy,531,29,18.310344827586206
چطوره,negative/high_proxy,299,140,2.1357142857142857
نفرن,negative/high_proxy,11,4,2.75
خفیف,negative/high_proxy,242,84,2.880952380952381
دردم,negative/high_proxy,13,2,6.5
ینی,negative/high_proxy,989,481,2.056133056133056
کتک,negative/high_proxy,488,0,inf
گریه,negative/high_proxy,3377,1,3377.0
دل‌شکسته,negative/high_proxy,25,12,2.0833333333333335
پایان,negative/high_proxy,10,4,2.5
مولار,negative/high_proxy,27,12,2.25
اشک,negative/high_proxy,457,0,inf
ترس,negative/high_proxy,1330,1,1330.0
بغض,negative/high_proxy,102,31,3.2903225806451615
اشغال,negative/high_proxy,154,0,inf
نمی‌بخش,negative/high_proxy,27,9,3.0
سطل,negative/high_proxy,50,20,2.5
مرگ,negative/high_proxy,696,4,174.0
اعضا,negative/high_proxy,13,6,2.1666666666666665
شدید,negative/high_proxy,219,83,2.63855421686747
جدا,negative/high_proxy,2198,0,inf
می‌لرز,negative/high_proxy,45,13,3.4615384615384617
میلی‌م,negative/high_proxy,34,12,2.8333333333333335
تنس,negative/high_proxy,16,2,8.0
کمر,negative/high_proxy,1238,271,4.568265682656826
دل‌درد,negative/high_proxy,258,105,2.4571428571428573
سینه‌درد,negative/high_proxy,78,30,2.6
سرهنگ,negative/high_proxy,14,4,3.5
پشیمون,negative/high_proxy,1176,1,1176.0
مامانمو,negative/high_proxy,40,19,2.1052631578947367
میکشیدن,negative/high_proxy,13,5,2.6
می‌میر,negative/high_proxy,402,162,2.4814814814814814
جایی,negative/high_proxy,17,2,8.5
فکروخیال,negative/high_proxy,11,3,3.6666666666666665
ظلم,negative/high_proxy,237,0,inf
کشید,negative/high_proxy,771,362,2.1298342541436464
وحش,negative/high_proxy,237,0,inf
نگر,negative/high_proxy,5064,2,2532.0
رسمیه,negative/high_proxy,11,5,2.2
شهردار,negative/high_proxy,32,9,3.5555555555555554
عموه,negative/high_proxy,67,21,3.1904761904761907
طلاهامو,negative/high_proxy,12,5,2.4
معتادا,negative/high_proxy,18,8,2.25
تحمله,negative/high_proxy,65,13,5.0
عصا,negative/high_proxy,12,5,2.4
پریروز,negative/high_proxy,68,27,2.5185185185185186
آستانه,negative/high_proxy,28,8,3.5
خیانتکار,negative/high_proxy,26,8,3.25
عوضی,negative/high_proxy,10,4,2.5
قلبمو,negative/high_proxy,27,9,3.0
غم,negative/high_proxy,323,1,323.0
اندوه,negative/high_proxy,13,2,6.5
هیجوق,negative/high_proxy,10,4,2.5
زیردل,negative/high_proxy,22,6,3.6666666666666665
شکس,negative/high_proxy,338,0,inf
میکنع,negative/high_proxy,28,10,2.8
پیشمه,negative/high_proxy,11,5,2.2
شبای,negative/high_proxy,13,4,3.25
سوگوار,negative/high_proxy,20,6,3.3333333333333335
گوشیمو,negative/high_proxy,23,11,2.090909090909091
زار,negative/high_proxy,138,35,3.942857142857143
صیغه,negative/high_proxy,65,29,2.2413793103448274
میترسم,negative/high_proxy,24,9,2.6666666666666665
می‌توا,negative/high_proxy,46,11,4.181818181818182
چیشد,negative/high_proxy,149,63,2.365079365079365
عقب‌افتاده,negative/high_proxy,110,46,2.391304347826087
مره,negative/high_proxy,15,5,3.0
انسانیه,negative/high_proxy,11,1,11.0
بابامو,negative/high_proxy,38,8,4.75
معتادن,negative/high_proxy,16,3,5.333333333333333
طلاق,negative/high_proxy,2259,6,376.5
خیانت,negative/high_proxy,68,26,2.6153846153846154
شمرد,negative/high_proxy,10,2,5.0
خانوادم,negative/high_proxy,38,15,2.533333333333333
طلاقه,negative/high_proxy,23,7,3.2857142857142856
همکارا,negative/high_proxy,10,4,2.5
کدومتون,negative/high_proxy,10,4,2.5
متور,negative/high_proxy,24,8,3.0
مهریه,negative/high_proxy,418,161,2.5962732919254656
خروج,negative/high_proxy,30,9,3.3333333333333335
ازکجا,negative/high_proxy,33,15,2.2
لگن,negative/high_proxy,314,126,2.492063492063492
پریوده,negative/high_proxy,59,20,2.95
برنمیگرده,negative/high_proxy,25,8,3.125
لعن,negative/high_proxy,387,0,inf
کمرم,negative/high_proxy,20,1,20.0
نق‌نقو,negative/high_proxy,11,4,2.75
بدبیار,negative/high_proxy,10,1,10.0
آواره,negative/high_proxy,14,5,2.8
خش,negative/high_proxy,11,4,2.75
مشروب,negative/high_proxy,37,16,2.3125
انداره,negative/high_proxy,14,4,3.5
دلدرد,negative/high_proxy,79,39,2.0256410256410255
می‌زده,negative/high_proxy,27,10,2.7
گلد,negative/high_proxy,10,4,2.5
خون‌دماغ,negative/high_proxy,13,1,13.0
بیتاب,negative/high_proxy,13,6,2.1666666666666665
غیاب,negative/high_proxy,10,4,2.5
وجدان,negative/high_proxy,54,7,7.714285714285714
دلشت,negative/high_proxy,11,3,3.6666666666666665
دردا,negative/high_proxy,98,32,3.0625
دهد,negative/high_proxy,17,3,5.666666666666667
افسرد,negative/high_proxy,24,8,3.0
خانمای,negative/high_proxy,26,12,2.1666666666666665
چنده,negative/high_proxy,220,88,2.5
مسکن,negative/high_proxy,185,82,2.2560975609756095
برید,negative/high_proxy,59,17,3.4705882352941178
ناگهان,negative/high_proxy,29,11,2.6363636363636362
چطوریه,negative/high_proxy,135,63,2.142857142857143
التماستون,negative/high_proxy,10,1,10.0
شکمتون,negative/high_proxy,29,14,2.0714285714285716
خونریزیتون,negative/high_proxy,14,0,inf
پارگ,negative/high_proxy,40,16,2.5
طرد,negative/high_proxy,18,8,2.25
جوریکه,negative/high_proxy,14,5,2.8
برنمی,negative/high_proxy,14,3,4.666666666666667
مدتیه,negative/high_proxy,24,11,2.1818181818181817
پریودیه,negative/high_proxy,42,10,4.2
پار,negative/high_proxy,23,11,2.090909090909091
غمگین,negative/high_proxy,19,7,2.7142857142857144
