unique_post_id,content,is_starter,A3_stress,A3_anxiety,A3_depression
411566829,من با لتروزل و آمپول hmg و سینال اف,False,1,1,1
332235635,"به هر حال مثل بقیه رفتارهای اشتباهات نگه داشتن این بچه هم اشتباه بود
الانم جلو بچه باید کتک بخوری و یک بچه با روح مریض بزرگ کنی
فقط بیچاره اون بچه که مادرش با بی فکری وارد دنیا کرد",False,1,1,1
389467576,ربطی ب لر یا کورد بودن نداره به خانواده بستگی داره,False,1,1,1
368673842,نه بابا چرت و پرته چه ربطی داره قسمت چی باشه,False,1,1,1
402293065,"یه دستگاه قند خون بگیر قیمتی نداره
تند تند چک کن روزی 2 بار
گاهی سیستم بدن ما از بقیه بالاتره
من همیشه قندم 95 هست توبارداری میگن لب مرز و بالا ورعایت کن ولی قند من همیشه همین بوده",False,1,1,1
356510099,"جدی خوبه
آشنایی داری در موردش",False,1,1,1
392181431,ممنون ببخشید میشه بگی از امسالم چی حس میکنی,False,1,1,1
395812858,دیگه نوبت اینترنتی برای فردا گرفتم,False,1,1,1
363481024,من هرروز بخاطر شوهرم گریه میکنم الان دارم گریه میکنم,False,7,4,7
400261413,"نورهان
ارهان
اورهان",False,1,1,1
346946250,"دلیلش اضطراب و استرس هست. من هم می جویدم ولی از موقعی گه به ناخن ها و پوست اطرافش، پماد آد می زنم، خیلی بهتر شده. امتحان کن.
چون چرب میشه، جویدنش سخته . من همینجا تو نی نی سایت یادگرفتم و اجرا کردم که دیدم جواب داد برای من . خدا خیرش بده",False,5,5,1
336132888,"دسکه دوبرابرنیست که
بعضی ها گفتن ۱۰ تومن حقوقمونه که قابل باور نیست",False,2,1,1
341400247,الان زدم تو نت خانومی بیا ببین اگه هم میخواین کامل متنو بخونید سرچ کنید تو نت هر چی رو باور نکنید,False,1,1,1
thread_6624545_آراممممم_1400/03/16 21:53,از اینکه فهمیدی پسره گریه کردی؟؟؟؟واقعا که آدم مونده چی بگه,False,1,1,1
413980635,"بنظرم این وام خیلی خوبه من خودم 200 گذاشتم 400 گرفتم
بخاطر این که قسط هاش خیلی کمه،،،،،
متلا برای 400 ملیون من 11 ملیون قسط میدم
بديش هم اینه پول خودمون رو بلوکه میکنه تا سه سال دیگه کع قسط ها تموم بشه !!! نمیشه پول خودت رو برداری
اصلا سخت گیری خاصی هم لازم نیست،،، ضامن خاصی هم نمیخواد،،، فقط دسته چک یه نفر رو باید ببری،،،،",False,1,1,1
256431909,"خانم ها پیج دکترنوبت  👇👇
💫 بزرگترین پیج بارداری و کودک هستش
هرروز کلی، پست و استوری در مورد( بارداری ،تخمک گذاری و پریود، ناباروری ،هفته های بارداری ، زایمان ،دخترزایی و پسرزایی و ....) به صورت رایگان به نمایش میذاره
🔴 در ضمن پزشکان متخصص زنان خبره هم برای هر شهر به صورت جدا، معرفی میکنه
میتونید فالوو کنید و برای دوستانتون بفرستید
@drnobat.ir
👇👇👇👇بزرگترین پیج بارداری و کودک
https://instagram.com/drnobat.ir",False,1,1,1
thread_17136656_starter,دوستان کسی مشکل مشابه داشته سینه راستم از دیشب تیر میکشه و گاهی درد داره  ولی سینه سمت چپم درد نداره طبیعیه یا نه توروخدا کسی مث من بوده راهنمایی کنه ؟,True,3,4,1
406892531,طلاق در صورتی خوبه که اولا شرایط توی خونه پدر مهیا و خوب باشه. یا زن اونقدری پول داشته باشه ک خونه مستقل بگیره خودش زندگی کنه. از طلاق پشیمونی؟ والا ن اونور زندگیت زندگی بود نه اینور,False,2,1,1
thread_17374745_starter,سلام من هفته شش بارداری لک بینی داشتم رفتم دکتر بهم آمپول پروژسترون هفته ای یکی و شیاف روزی ۲ تا داد بعد مصرف خوب شدم و گفت همچنان ادامه بدم الان هفته ۹ بارداری هستم دیشب لک بینی داشتم ولی شدید تر از قبل قهوه ای سوخته تا صبح هم ادامه داشت کلا استراحت مطلق هستم کار سنگین نمیکنم رابطه هم ندارم اگر تجربه ای دارید خوسحال میشم بشنوم,True,4,5,1
399958185,همه رفتن 🥲,False,1,1,3
thread_14710991_starter,فردا آمنیوسنتز دارم قبلا امتحان کردم ولی واقعا ایندفعه استرس دارم .کیا تجربه دارن؟,True,6,6,1
