unique_post_id,oof_fold,group_id,author,thread_id
246749152,0,G02552,سامیارکوچولو,9116406
246750589,0,G02552,قرصماه,9116406
246952723,0,G02180,egekhanom,9126202
249384092,0,G00002,عشق5,9242694
251560308,0,G00004,fatemehfr,9345142
253412625,0,G00008,eliii74fatiiiii66,9435371
254686209,0,G02223,suniw,9492091
254933030,0,G02224,taninam,9502197
255241351,0,G02556,آلبالوپلو,9515090
256281249,0,G00015,shoroogh,9557765
257900941,0,G00015,shoroogh,9628180
257972125,0,G00017,بالیتلبوتل,9631153
258001969,0,G00018,شایلین1401,9632346
258003322,0,G00018,مامان_جوجه_خروس,9632346
258004522,0,G00018,شایلین1401,9632346
261005269,0,G02565,mahoor80,9760594
261235099,0,G00015,shoroogh,9770349
261626674,0,G02566,مالکوم___,9786806
267356554,0,G00031,maryam1997,10033906
267363492,0,G00031,maryam1997,10033906
267365062,0,G00031,maryam1997,10033906
267365382,0,G00031,farimah68,10033906
269245719,0,G00036,nellin,10117119
271055693,0,G02575,دختــــرآبانــــی۹۸,10202191
271056089,0,G02575,setiya26,10202191
272894651,0,G00039,اوجولات,10291766
273009572,0,G02578,kosariii79__79,10238751
274805847,0,G00049,pejvak3124,10377037
276203863,0,G02581,جولان,10437170
278343497,0,G00055,شکموخانم,10530158
279866139,0,G02587,امیرعلی_حسین_,10596658
282842535,0,G02591,مامان_امیر_علی,10725673
283536818,0,G02592,a1370baran,10757116
285393542,0,G00066,nafscute,10838894
289051453,0,G00073,مامانmehdi,11006992
292097414,0,G02608,ارز,11147547
292215607,0,G02609,شیطون_بلااااا,11152910
292792295,0,G02235,ژرمیناال,11179449
292792817,0,G02235,ژرمیناال,11179449
293012736,0,G01415,نیکوآزاد,11189897
294521720,0,G01354,رحا,11258649
295252006,0,G02616,نازجولی,11294477
296923498,0,G00091,شهرزادجان,11358405
297556559,0,G02621,صحراعرب,11401596
297972679,0,G00095,kabos,11421164
298881902,0,G02625,ماهوریا,11464879
299171940,0,G02626,lavin7880,11478047
299609811,0,G02238,یاحسینجانم,11499506
301337358,0,G02630,عشق،دیبا,11583861
301338944,0,G02630,نیلی۹خوش۹قلب۹۹,11583861
302709082,0,G00104,manijjj,11649272
303694559,0,G02631,نازلیییییی_۲,11697905
304365239,0,G00106,دخترپائیزی,11729979
305472176,0,G02241,زی666666,11785875
305541042,0,G00114,fhai,11789440
306706831,0,G02242,۱۴۶۹,11849683
306978552,0,G02638,حس_خوب۲۰,11864668
307231754,0,G00120,عسل،بانو۲۲۸۰,11878095
307812556,0,G00124,5elijoooooooon,11910508
307838863,0,G00125,maria_74,11911712
308373646,0,G00131,yase_abas,11939430
309505551,0,G00137,فاeze,11998274
310232608,0,G02244,mamitotfarnagi,12031343
310257577,0,G02646,jaasmiine,12036768
310319093,0,G02647,alphi,12039821
310878866,0,G00144,خانوم_علی_آقا,12069077
313544736,0,G02652,_abi_darya_aram,12214825
313794425,0,G02246,دلارام1375,12229316
314647649,0,G00153,زوارالحسین,12276762
314888743,0,G02247,اختاپوس,12290513
315483616,0,G00155,33doya,12322898
315483708,0,G00155,33doya,12322898
315497619,0,G00002,عشق5,12297225
315642970,0,G00156,پیتزااااتپووولی,12331928
316519104,0,G00160,خانوم_طلا7,12374927
316973553,0,G02661,یاسمن_۷۵,12404137
317264555,0,G00166,nininaz130,12419963
318483100,0,G02667,pangoan,12486515
318719663,0,G00172,مامان_دخترخوشکل,12499878
318910917,0,G01415,نیکوآزاد,12511452
319201384,0,G00174,atena1998,12528177
319558046,0,G00179,دختربهار_1234,12548294
320462018,0,G02675,minachiii,12596795
321000149,0,G00194,mamanjoooni,12624804
321000602,0,G00194,کیس0کیس,12624804
321002103,0,G00194,mamanparinaz,12624804
321055600,0,G02678,نادیگل,12627964
321624238,0,G02679,cheshm_ghahveei,12659047
322239515,0,G02683,لاوازیه_۲,12694043
322804610,0,G02685,حانیماه,12728137
324164633,0,G00205,بیسکوییت_شوکولاتی,12803928
324165329,0,G00205,مامان_پاشا_هستم,12803928
324251993,0,G02690,mariarose,12809803
325145497,0,G02691,parasto_22,12858993
325425896,0,G02693,عشقسیاسفید,12874821
325645995,0,G02252,بخیحفیتج,12886944
326225459,0,G00213,۰۰bahar70,12920414
326343479,0,G02697,نیکولا_تسلا,12926477
326391943,0,G00216,رهابانوام,12929245
326434741,0,G00217,101112131415,12931361
326449658,0,G02253,خانوم۱۱۱۱۱۱۱۱۱۱۱۱۱۱,12932175
326575748,0,G02254,sobheazadiii,12939185
326580054,0,G02254,sobheazadiii,12939185
326925605,0,G02699,samir_abas,12958792
327399769,0,G00225,marمریم,12984435
328060012,0,G00229,tifani2,13021332
328368322,0,G02704,آرین۱آروین۱بالالارم,13038751
328671398,0,G00232,من_باخودم_غریبه_ام,13055536
329478485,0,G02707,دلبر_ناب_دلم,13102226
329961165,0,G02708,mis_nneeggaar,13129067
330563917,0,G00245,queens_22,13161666
330693939,0,G02710,zahani,13168555
331075456,0,G02260,zxcvb76543,13189503
331432035,0,G00253,ققنوس۱۲۳۴۱۲۳۴,13210097
331602745,0,G00254,negar9977,13219171
331667811,0,G02714,qw23ty,13219142
332093757,0,G02718,مجیدجان,13246356
332184383,0,G00258,دایان_کوشولو,13251552
332218074,0,G00444,خاله_خرسسسسه,13253517
332258927,0,G00261,avakadooo,13255828
332259134,0,G00261,جینگولی_هستمas,13255828
333639726,0,G02722,فاطیg,13336122
333751357,0,G01470,همتا۹۵,13342597
334046938,0,G00268,رزیتا_رادمهر,13359003
334436854,0,G02724,momybuati,13381150
334482053,0,G00273,غبار۱۲۳۴۵۶,13383517
334551247,0,G02631,نازلیییییی_۲,13387128
334969203,0,G00277,اسفندی۷۶,13410978
335014043,0,G00278,به_دنبال_زندگی,13413892
335689739,0,G00288,مامان۰ماهک۰,13451412
335711187,0,G00290,کوه_آلپ,13452510
335714089,0,G00290,برررکه_34,13452510
335798890,0,G00291,shahrzaddd78,13457911
336236076,0,G02732,eli0011,13481852
336287860,0,G00296,cute_ladybug,13484900
336316972,0,G00298,nyusha7747,13486360
337097968,0,G00310,یاس00,13529812
337913265,0,G02737,nelo68,13575039
338201340,0,G00288,مامان۰ماهک۰,13591681
338364458,0,G00254,negar9977,13600583
338943237,0,G02741,بانمکترینم,13632415
338953276,0,G00328,75nemesis,13632948
339198518,0,G02743,مه_لقا_,13646394
339229282,0,G00332,mimbanoo,13648135
339258407,0,G00333,تاآسمان,13590933
339667965,0,G02749,مارال_بانو0,13671669
340256671,0,G00340,khayat_bashi,13696088
340283651,0,G00412,نامزدحبیبم,13706100
341136694,0,G01507,دلبرخطرناک,13758742
341383914,0,G02760,وانیلااااا,13773008
341487265,0,G00345,دادستان_خانوم,13778840
341488180,0,G00345,دادستان_خانوم,13778840
341680025,0,G01508,halmaaa,13790145
341737811,0,G02762,مامان_عدس_کوشولووو,13793663
341847339,0,G02764,_mahpishoni_,13799988
342115286,0,G02767,گلي28458,13815587
342415425,0,G00359,تپلو92,13834029
342461252,0,G00359,راحیل2,13834029
342507977,0,G00363,zibaaa1377,13839246
342566956,0,G02271,سیلواناااااز,13813916
342840613,0,G00366,مشکیناز,13857981
