position,feature,is_categorical
0,likes,False
1,log1p_likes,False
2,user_post_count,False
3,log1p_user_post_count,False
4,children_count,False
5,age_missing,False
6,age_num,False
7,is_starter,False
8,has_reply,False
9,gender,True
10,category,True
11,sub_category,True
12,education_clean,True
13,posted_year,False
14,posted_month,False
15,posted_day,False
16,posted_hour,False
17,posted_minute,False
18,posted_weekday,False
19,posted_weekday_name,True
20,posted_daypart,True
21,posted_is_weekend,False
22,posted_is_night,False
23,posted_is_late_evening,False
24,posted_hour_sin,False
25,posted_hour_cos,False
26,posted_month_sin,False
27,posted_month_cos,False
28,join_year,False
29,join_month,False
30,join_day,False
31,account_age_days,False
32,account_age_years,False
33,posts_per_account_year,False
34,log1p_posts_per_account_year,False
35,likes_per_100_posts,False
36,has_signature,False
37,sig_char_count,False
38,sig_punct_count,False
39,sig_question_count,False
40,sig_excl_count,False
41,sig_emoji_count,False
42,sig_word_count,False
43,sig_neg_count,False
44,sig_pos_count,False
45,sig_pos_emoji,False
46,sig_neg_emoji,False
47,post_char_count,False
48,post_punct_count,False
49,post_question_count,False
50,post_excl_count,False
51,post_emoji_count,False
52,post_pos_emoji,False
53,post_neg_emoji,False
54,post_word_count,False
55,post_neg_count,False
56,post_pos_count,False
57,post_neg_count_temp,False
58,post_pos_count_temp,False
59,post_neg_word_ratio,False
60,post_pos_word_ratio,False
61,post_question_per_100_words,False
62,post_excl_per_100_words,False
63,post_emoji_per_100_words,False
64,post_punct_per_100_chars,False
65,post_temp_neg_ratio,False
66,post_temp_pos_ratio,False
