feature,mean_importance,std_importance
is_starter,16.58621246595039,0.6980585879888879
post_neg_emoji,7.932919976763868,0.5215981967818549
post_char_count,7.2601471517888765,0.44192245393251256
post_neg_count,7.256378838570646,0.5464168567390424
post_pos_word_ratio,4.940460645611188,0.12843598923419738
post_temp_neg_ratio,3.7381732777001844,0.43559500738951745
post_word_count,3.7076280007961975,0.5985875778761945
sub_category,3.261337973488138,0.48721075920430423
post_neg_count_temp,2.2824764809295663,0.34539328612437675
post_neg_word_ratio,2.042092833524273,0.32366594960332723
has_reply,1.8942640540122977,0.18666152287862386
user_post_count,1.888342833655954,0.19115322700427684
log1p_user_post_count,1.8184147819056906,0.10081897147025608
category,1.7193276885005595,0.1881680466867574
join_day,1.6531258462895166,0.5678522441886289
post_pos_emoji,1.5800477086944036,0.17004145420466013
posted_hour_cos,1.5507815368854725,0.3197594386627571
posted_minute,1.5350234031737695,0.299068032490317
post_punct_per_100_chars,1.5212887977648366,0.18834101863696984
posted_day,1.441244899452919,0.20717932901574393
posts_per_account_year,1.4390757940426062,0.23342449429687526
join_month,1.3704506039944604,0.21444477614397614
post_question_per_100_words,1.3033289434993884,0.1758858338709052
log1p_posts_per_account_year,1.2296973482666678,0.1986835557502583
account_age_days,1.1140500578954584,0.1706203327190175
post_emoji_count,1.0959388970237476,0.3746947616947354
account_age_years,1.0804902073435887,0.16894636629084164
posted_hour_sin,1.0193396562744488,0.31823777963004185
posted_month_cos,1.0120537213013423,0.11155567063015052
post_temp_pos_ratio,0.9483830455706981,0.12214103198697887
post_emoji_per_100_words,0.9416194472030591,0.22811040287155976
posted_hour,0.8672372066896272,0.11160163187592512
posted_month_sin,0.8663961297174936,0.17020040681590826
posted_month,0.8355768103935957,0.2964482803390957
age_num,0.798559351099269,0.22053865483807217
likes_per_100_posts,0.7141157922616423,0.1450240435456991
posted_weekday_name,0.6419082084999235,0.09941396472542785
posted_year,0.6057406326964407,0.11051348491946893
posted_weekday,0.5884936912228503,0.18317784211903754
post_pos_count,0.5821225475647795,0.13071424320951078
posted_is_weekend,0.5652826411566215,0.2557585866553972
join_year,0.5167194017364046,0.14877803736733003
sig_char_count,0.4583327822684291,0.10174336979695321
posted_daypart,0.4516399685487388,0.19965664736591923
post_punct_count,0.4256904423451685,0.08387324514021302
sig_word_count,0.3910735137924958,0.14151522612104273
post_question_count,0.35307517947651534,0.11024638305765293
log1p_likes,0.3508701738062133,0.054801692392922326
likes,0.3193366322437633,0.16550936609073236
post_pos_count_temp,0.29207715546455426,0.12163912310597556
education_clean,0.16451499031755973,0.13412605132458807
gender,0.16234811331426288,0.030424364816699474
sig_punct_count,0.15690391542583224,0.09812104905656958
sig_emoji_count,0.1120932378185345,0.07197988745619478
children_count,0.10427453791665445,0.05810383076131153
sig_pos_emoji,0.10327773814807104,0.027836765577437566
age_missing,0.08679482076082164,0.05548046367147225
posted_is_night,0.08328170032993396,0.036084247077830776
post_excl_per_100_words,0.04623283152666875,0.015084988439705262
sig_pos_count,0.04348857781582369,0.026946298152395697
post_excl_count,0.036820312166247385,0.023475683878089904
has_signature,0.03401841532126897,0.03526733678233544
posted_is_late_evening,0.03208057431457332,0.028322950154899884
sig_neg_emoji,0.024846027815394238,0.007500767165070638
sig_excl_count,0.008833728703002062,0.0029694429187488254
sig_neg_count,0.007190415612843605,0.006653481553866533
sig_question_count,0.004634883833745396,0.004445980596871332
