unique_post_id,member1_prediction,member2_prediction,fusion_stress_score,true_class,base_model_disagreement,nearest_threshold_distance,active_learning_score
305592776,2.7052887787241087,7.290849,5.820660241385307,High,4.585560221275891,0.6414748745601937,1.6939430242631939
thread_11389002_پرپر۱۳۷۸_1402/04/01 23:54,2.5459546134494886,6.6902604,5.437902865762369,Very High,4.144305786550511,0.5327420504673688,1.5175817545500734
thread_11293496_جمره۲۲_1402/03/20 16:06,2.404586682585415,6.3245044,4.443335476401564,Moderate,3.9199177174145854,0.46182533889343613,1.4301798113494069
372091003,2.6838981405677544,6.3123727,5.256265483828143,High,3.6284745594322456,0.3511046685331429,1.347638393020918
375782229,3.4084406833894945,6.9546614,6.029002843709239,Very High,3.5462207166105055,0.4331322722362616,1.306978786832177
346715950,2.383949146903305,5.6233974,4.728458925311632,Moderate,3.239448253096695,0.17670188998336833,1.2561454161642291
361188822,4.328797100990316,7.151181,6.443266459662636,Low,2.822383899009684,0.018868656282863938,1.2332734718266605
392845635,3.672883701022808,7.0718355,5.821031617029593,Very High,3.398951798977192,0.641103498915907,1.1882715776259227
410013524,3.629583339861042,6.398964,4.941812425662678,High,2.769380660138958,0.03665161036767817,1.1516703358797091
382326542,1.3925302799304888,4.7400765,3.755669508458673,Moderate,3.347546220069511,0.6602310057566734,1.1417977373621226
thread_12365765_آشرشته_1402/08/13 08:42,2.8008640556871747,5.562262,4.85694098265952,Moderate,2.761397944312825,0.04821983263548013,1.1384796926817937
284311590,2.853282807968792,6.0063705,5.275924825887971,High,3.153087692031208,0.37076401059297126,1.138345370766121
402494348,4.490399762392452,1.6842798,2.9772010465514,Low,2.806119962392452,0.11823745615059966,1.103936889050445
380481321,3.535572370109679,6.646824,5.9261652600379655,Very High,3.1112516298903206,0.5359698559075348,1.0906193985040284
381860745,1.3473806974495033,4.0171623,3.162294428534944,Moderate,2.6697816025504966,0.06685592583294442,1.0815665883373842
337240977,3.585499873034637,6.6672654,5.858903455494924,High,3.0817655269653628,0.6032316604505761,1.0613955658849517
332206682,4.609592312878336,7.033384,6.410350914884765,High,2.423791687121664,0.05178420106073567,1.035370170703756
394573467,3.2945341935833925,6.238044,5.409729424975047,Moderate,2.943509806416608,0.5045686096800468,1.011969995524775
thread_17982318_starter,4.117020331266231,7.0501685,5.913309680582217,High,2.9331481687337693,0.5488254353632831,1.0113249551260672
thread_12202655_starter,5.529290434016654,2.6511436,3.582001838834954,Low,2.878146834016654,0.4865633361329542,0.9781268662861625
380905300,4.068378306212952,1.001675,1.9820589979187613,Low,3.066703306212952,1.1133795047832384,0.9761275005889537
333816248,3.2779678712043294,6.1336966,5.4337362916022025,High,2.855728728795671,0.5285754763072026,0.9692552279719628
356852370,3.8954515507305394,6.708379,5.936627753753918,Moderate,2.8129274492694605,0.5255073621915827,0.9662978824848858
262741341,3.4066121294639693,6.032323,5.148799221191982,Moderate,2.6257108705360306,0.2436384058969825,0.9636076017285106
396556283,3.348589050948146,5.936393,5.156974600618769,Low,2.5878039490518536,0.25181378532376897,0.9437038298597091
351399461,4.384506102155346,2.1499686,3.087954195590308,Low,2.2345375021553466,0.007484307111691901,0.9434242391841999
410259098,1.0940802813596493,3.9032617,2.554785433698112,Low,2.8091814186403505,0.5406530690038878,0.9353428612499718
355880309,3.7703732324147854,6.5330415,5.861240399856822,Moderate,2.762668267585215,0.6008947160886784,0.9259286310314494
380897964,2.4583968994231844,5.18161,4.45334763546376,Moderate,2.7232131005768156,0.45181317983124014,0.9229578011326984
362866130,3.037343321949549,5.3384542,4.825979750878711,Moderate,2.301110878050451,0.07918106441628936,0.9189658856237847
376028055,4.727720233850458,6.850422,6.515458722577552,Very High,2.122701766149542,0.053323606632051934,0.9111107569470961
thread_10684999_starter,5.198117744072964,2.5084252,3.53943901306937,Low,2.689692544072964,0.4440005103673701,0.9094225374708559
