rank,threshold_low_moderate,threshold_moderate_high,threshold_high_very_high,accuracy,macro_f1,low_precision,moderate_precision,high_precision,very_high_precision,low_recall,moderate_recall,high_recall,very_high_recall
1,3.0954385027019997,4.905160815295,6.4621351159455,0.7566371681415929,0.6716789843118596,0.9194139194139194,0.38235294117647056,0.6226415094339622,0.7916666666666666,0.8451178451178452,0.582089552238806,0.5238095238095238,0.76
2,2.9332506729425,4.905160815295,6.4621351159455,0.7477876106194691,0.6712945089420858,0.9277566539923955,0.375,0.6226415094339622,0.7916666666666666,0.8215488215488216,0.6268656716417911,0.5238095238095238,0.76
3,2.9918022553995,4.905160815295,6.4621351159455,0.75,0.6710686719745445,0.924812030075188,0.3761467889908257,0.6226415094339622,0.7916666666666666,0.8282828282828283,0.6119402985074627,0.5238095238095238,0.76
4,3.1620176587805,4.905160815295,6.4621351159455,0.7632743362831859,0.6705532999335164,0.9113475177304965,0.3870967741935484,0.6226415094339622,0.7916666666666666,0.8653198653198653,0.5373134328358209,0.5238095238095238,0.76
5,3.0778644122100003,4.905160815295,6.4621351159455,0.754424778761062,0.6705084682197223,0.9191176470588235,0.3786407766990291,0.6226415094339622,0.7916666666666666,0.8417508417508418,0.582089552238806,0.5238095238095238,0.76
6,2.8550343018665,4.905160815295,6.4621351159455,0.7433628318584071,0.6703318878336032,0.9305019305019305,0.3706896551724138,0.6226415094339622,0.7916666666666666,0.8114478114478114,0.6417910447761194,0.5238095238095238,0.76
7,2.9096123539559997,4.905160815295,6.4621351159455,0.745575221238938,0.6701380120242534,0.9274809160305344,0.37168141592920356,0.6226415094339622,0.7916666666666666,0.8181818181818182,0.6268656716417911,0.5238095238095238,0.76
8,2.971599567811,4.905160815295,6.4621351159455,0.7477876106194691,0.6699096696194113,0.9245283018867925,0.37272727272727274,0.6226415094339622,0.7916666666666666,0.8249158249158249,0.6119402985074627,0.5238095238095238,0.76
9,3.128633406958,4.905160815295,6.4621351159455,0.7588495575221239,0.6697933735969248,0.9136690647482014,0.38144329896907214,0.6226415094339622,0.7916666666666666,0.8552188552188552,0.5522388059701493,0.5238095238095238,0.76
10,3.159439791254,4.905160815295,6.4621351159455,0.7610619469026548,0.6693734597640096,0.9110320284697508,0.3829787234042553,0.6226415094339622,0.7916666666666666,0.8619528619528619,0.5373134328358209,0.5238095238095238,0.76
11,3.06409478344,4.905160815295,6.4621351159455,0.7522123893805309,0.6693441588951217,0.9188191881918819,0.375,0.6226415094339622,0.7916666666666666,0.8383838383838383,0.582089552238806,0.5238095238095238,0.76
12,2.8436372276029998,4.905160815295,6.4621351159455,0.7411504424778761,0.6691829726339257,0.9302325581395349,0.36752136752136755,0.6226415094339622,0.7916666666666666,0.8080808080808081,0.6417910447761194,0.5238095238095238,0.76
13,3.1048558893065,4.905160815295,6.4621351159455,0.754424778761062,0.6690040108077774,0.916058394160584,0.37623762376237624,0.6226415094339622,0.7916666666666666,0.8451178451178452,0.5671641791044776,0.5238095238095238,0.76
14,2.885157037645,4.905160815295,6.4621351159455,0.7433628318584071,0.6689869079144675,0.9272030651340997,0.3684210526315789,0.6226415094339622,0.7916666666666666,0.8148148148148148,0.6268656716417911,0.5238095238095238,0.76
15,2.9573479003565,4.905160815295,6.4621351159455,0.745575221238938,0.6687562753606955,0.9242424242424242,0.36936936936936937,0.6226415094339622,0.7916666666666666,0.8215488215488216,0.6119402985074627,0.5238095238095238,0.76
16,3.1140390614925,4.905160815295,6.4621351159455,0.7566371681415929,0.6686234177132891,0.9133574007220217,0.37755102040816324,0.6226415094339622,0.7916666666666666,0.8518518518518519,0.5522388059701493,0.5238095238095238,0.76
17,3.0179836722045,4.905160815295,6.4621351159455,0.7477876106194691,0.668489750999446,0.9213483146067416,0.37037037037037035,0.6226415094339622,0.7916666666666666,0.8282828282828283,0.5970149253731343,0.5238095238095238,0.76
18,3.150493399208,4.905160815295,6.4621351159455,0.7588495575221239,0.6682005787035625,0.9107142857142857,0.37894736842105264,0.6226415094339622,0.7916666666666666,0.8585858585858586,0.5373134328358209,0.5238095238095238,0.76
19,3.0584582183085,4.905160815295,6.4621351159455,0.75,0.6681859087155608,0.9185185185185185,0.37142857142857144,0.6226415094339622,0.7916666666666666,0.835016835016835,0.582089552238806,0.5238095238095238,0.76
20,3.0954385027019997,4.878916341613,6.4621351159455,0.754424778761062,0.6681738687377785,0.9194139194139194,0.37623762376237624,0.6111111111111112,0.7916666666666666,0.8451178451178452,0.5671641791044776,0.5238095238095238,0.76
21,2.8335138787875,4.905160815295,6.4621351159455,0.7389380530973452,0.6680391176661028,0.9299610894941635,0.3644067796610169,0.6226415094339622,0.7916666666666666,0.8047138047138047,0.6417910447761194,0.5238095238095238,0.76
22,2.9332506729425,4.878916341613,6.4621351159455,0.745575221238938,0.6679288742290347,0.9277566539923955,0.36936936936936937,0.6111111111111112,0.7916666666666666,0.8215488215488216,0.6119402985074627,0.5238095238095238,0.76
23,3.0954385027019997,4.9254948908195,6.4621351159455,0.754424778761062,0.6678893067524493,0.9194139194139194,0.3786407766990291,0.6153846153846154,0.7916666666666666,0.8451178451178452,0.582089552238806,0.5079365079365079,0.76
24,2.8654248994315,4.905160815295,6.4621351159455,0.7411504424778761,0.66784106815702,0.926923076923077,0.3652173913043478,0.6226415094339622,0.7916666666666666,0.8114478114478114,0.6268656716417911,0.5238095238095238,0.76
